rb,Year,Date
p134,2020,2020-01-27
p134,2020,2020-01-28
p134,2020,2020-01-29
p134,2020,2020-01-30
p134,2022,2022-01-06
p134,2022,2022-01-07
p134,2023,2023-12-21
p134,2023,2023-12-22
p134,2023,2023-12-23
p134,2023,2023-12-24
p134,2025,2025-02-04
p134,2025,2025-11-23
p134,2025,2025-11-30
p134,2028,2028-12-26
p134,2029,2029-02-02
p134,2029,2029-02-03
p134,2029,2029-02-04
p134,2029,2029-02-05
p134,2029,2029-02-06
p134,2029,2029-02-07
p134,2029,2029-02-08
p134,2030,2030-02-14
p134,2030,2030-12-20
p134,2030,2030-12-21
p134,2030,2030-12-22
p134,2030,2030-12-23
p134,2030,2030-12-24
p134,2030,2030-12-29
p134,2030,2030-12-30
p134,2033,2033-02-16
p134,2036,2036-02-02
p134,2038,2038-12-20
p134,2038,2038-12-21
p134,2038,2038-12-22
p134,2038,2038-12-23
p134,2049,2049-12-08
p134,2049,2049-12-09
p134,2050,2050-11-24
p134,2051,2051-02-26
p134,2053,2053-01-13
p134,2053,2053-12-07
p134,2053,2053-12-08
p134,2053,2053-12-09
p134,2057,2057-01-05
p134,2057,2057-01-06
p134,2057,2057-01-07
p134,2060,2060-01-28
p134,2060,2060-01-29
p134,2062,2062-01-06
p134,2063,2063-12-21
p134,2063,2063-12-22
p134,2063,2063-12-23
p134,2063,2063-12-24
p134,2065,2065-02-04
p134,2065,2065-11-23
p134,2069,2069-02-02
p134,2069,2069-02-03
p134,2069,2069-02-04
p134,2069,2069-02-05
p134,2069,2069-02-06
p134,2069,2069-02-07
p134,2069,2069-02-08
p134,2070,2070-02-14
p134,2070,2070-12-20
p134,2070,2070-12-21
p134,2070,2070-12-22
p134,2070,2070-12-23
p134,2070,2070-12-24
p134,2070,2070-12-29
p134,2070,2070-12-30
p134,2078,2078-12-20
p134,2078,2078-12-21
p134,2078,2078-12-22
p134,2089,2089-12-08
p134,2090,2090-11-24
p134,2091,2091-02-26
p134,2093,2093-12-08
p134,2097,2097-01-06
