rb,Year,Date
p92,2020,2020-01-08
p92,2020,2020-01-10
p92,2020,2020-01-31
p92,2020,2020-12-14
p92,2021,2021-01-08
p92,2021,2021-01-10
p92,2021,2021-01-31
p92,2021,2021-12-14
p92,2022,2022-01-08
p92,2022,2022-01-10
p92,2022,2022-01-31
p92,2022,2022-12-14
p92,2023,2023-01-08
p92,2023,2023-01-10
p92,2023,2023-01-31
p92,2023,2023-12-14
p92,2024,2024-01-08
p92,2024,2024-01-10
p92,2024,2024-01-31
p92,2024,2024-12-14
p92,2025,2025-01-08
p92,2025,2025-01-10
p92,2025,2025-01-31
p92,2025,2025-12-14
p92,2026,2026-01-08
p92,2026,2026-01-10
p92,2026,2026-01-31
p92,2026,2026-12-14
p92,2027,2027-01-08
p92,2027,2027-01-10
p92,2027,2027-01-31
p92,2027,2027-12-14
p92,2028,2028-01-08
p92,2028,2028-01-10
p92,2028,2028-01-31
p92,2028,2028-12-14
p92,2029,2029-01-08
p92,2029,2029-01-10
p92,2029,2029-01-31
p92,2029,2029-12-14
p92,2030,2030-01-08
p92,2030,2030-01-10
p92,2030,2030-01-31
p92,2030,2030-12-14
p92,2031,2031-01-08
p92,2031,2031-01-10
p92,2031,2031-01-31
p92,2031,2031-12-14
p92,2032,2032-01-08
p92,2032,2032-01-10
p92,2032,2032-01-31
p92,2032,2032-12-14
p92,2033,2033-01-08
p92,2033,2033-01-10
p92,2033,2033-01-31
p92,2033,2033-12-14
p92,2034,2034-01-08
p92,2034,2034-01-10
p92,2034,2034-01-31
p92,2034,2034-12-14
p92,2035,2035-01-08
p92,2035,2035-01-10
p92,2035,2035-01-31
p92,2035,2035-12-14
p92,2036,2036-01-08
p92,2036,2036-01-10
p92,2036,2036-01-31
p92,2036,2036-12-14
p92,2037,2037-01-08
p92,2037,2037-01-10
p92,2037,2037-01-31
p92,2037,2037-12-14
p92,2038,2038-01-08
p92,2038,2038-01-10
p92,2038,2038-01-31
p92,2038,2038-12-14
p92,2039,2039-01-08
p92,2039,2039-01-10
p92,2039,2039-01-31
p92,2039,2039-12-14
p92,2040,2040-01-08
p92,2040,2040-01-10
p92,2040,2040-01-31
p92,2040,2040-12-14
p92,2041,2041-01-08
p92,2041,2041-01-10
p92,2041,2041-01-31
p92,2041,2041-12-14
p92,2042,2042-01-08
p92,2042,2042-01-10
p92,2042,2042-01-31
p92,2042,2042-12-14
p92,2043,2043-01-08
p92,2043,2043-01-10
p92,2043,2043-01-31
p92,2043,2043-12-14
p92,2044,2044-01-08
p92,2044,2044-01-10
p92,2044,2044-01-31
p92,2044,2044-12-14
p92,2045,2045-01-08
p92,2045,2045-01-10
p92,2045,2045-01-31
p92,2045,2045-12-14
p92,2046,2046-01-08
p92,2046,2046-01-10
p92,2046,2046-01-31
p92,2046,2046-12-14
p92,2047,2047-01-08
p92,2047,2047-01-10
p92,2047,2047-01-31
p92,2047,2047-12-14
p92,2048,2048-01-08
p92,2048,2048-01-10
p92,2048,2048-01-31
p92,2048,2048-12-14
p92,2049,2049-01-08
p92,2049,2049-01-10
p92,2049,2049-01-31
p92,2049,2049-12-14
p92,2050,2050-01-08
p92,2050,2050-01-10
p92,2050,2050-01-31
p92,2050,2050-12-14
p92,2051,2051-01-08
p92,2051,2051-01-10
p92,2051,2051-01-31
p92,2051,2051-12-14
p92,2052,2052-01-08
p92,2052,2052-01-10
p92,2052,2052-01-31
p92,2052,2052-12-14
p92,2053,2053-01-08
p92,2053,2053-01-10
p92,2053,2053-01-31
p92,2053,2053-12-14
p92,2054,2054-01-08
p92,2054,2054-01-10
p92,2054,2054-01-31
p92,2054,2054-12-14
p92,2055,2055-01-08
p92,2055,2055-01-10
p92,2055,2055-01-31
p92,2055,2055-12-14
p92,2056,2056-01-08
p92,2056,2056-01-10
p92,2056,2056-01-31
p92,2056,2056-12-14
p92,2057,2057-01-08
p92,2057,2057-01-10
p92,2057,2057-01-31
p92,2057,2057-12-14
p92,2058,2058-01-08
p92,2058,2058-01-10
p92,2058,2058-01-31
p92,2058,2058-12-14
p92,2059,2059-01-08
