state,Year,Date
Washington,2020,2020-01-26
Washington,2020,2020-01-27
Washington,2020,2020-01-28
Washington,2020,2020-01-29
Washington,2020,2020-01-30
Washington,2020,2020-01-31
Washington,2022,2022-01-05
Washington,2022,2022-01-06
Washington,2022,2022-01-07
Washington,2023,2023-12-19
Washington,2023,2023-12-20
Washington,2023,2023-12-21
Washington,2023,2023-12-22
Washington,2023,2023-12-23
Washington,2023,2023-12-24
Washington,2023,2023-12-25
Washington,2024,2024-12-18
Washington,2024,2024-12-19
Washington,2024,2024-12-20
Washington,2025,2025-02-02
Washington,2025,2025-02-03
Washington,2025,2025-02-04
Washington,2025,2025-11-21
Washington,2025,2025-11-22
Washington,2025,2025-11-23
Washington,2025,2025-11-24
Washington,2025,2025-11-25
Washington,2025,2025-11-26
Washington,2025,2025-11-27
Washington,2025,2025-11-28
Washington,2025,2025-11-29
Washington,2025,2025-11-30
Washington,2025,2025-12-01
Washington,2025,2025-12-02
Washington,2029,2029-02-01
Washington,2029,2029-02-02
Washington,2029,2029-02-03
Washington,2029,2029-02-04
Washington,2029,2029-02-05
Washington,2029,2029-03-03
Washington,2030,2030-02-14
Washington,2030,2030-12-19
Washington,2030,2030-12-20
Washington,2030,2030-12-21
Washington,2030,2030-12-22
Washington,2030,2030-12-23
Washington,2030,2030-12-24
Washington,2030,2030-12-28
Washington,2030,2030-12-29
Washington,2030,2030-12-30
Washington,2031,2031-01-05
Washington,2033,2033-01-02
Washington,2033,2033-01-03
Washington,2033,2033-01-06
Washington,2033,2033-01-07
Washington,2033,2033-01-08
Washington,2033,2033-01-10
Washington,2033,2033-01-11
Washington,2033,2033-01-12
Washington,2036,2036-01-29
Washington,2036,2036-01-30
Washington,2036,2036-01-31
Washington,2036,2036-02-01
Washington,2036,2036-02-02
Washington,2036,2036-02-03
Washington,2038,2038-01-11
Washington,2038,2038-01-12
Washington,2038,2038-12-20
Washington,2038,2038-12-21
Washington,2038,2038-12-22
Washington,2038,2038-12-23
Washington,2044,2044-01-04
Washington,2044,2044-01-05
Washington,2044,2044-01-06
Washington,2046,2046-02-17
Washington,2046,2046-11-29
Washington,2048,2048-12-15
Washington,2048,2048-12-16
Washington,2048,2048-12-17
Washington,2048,2048-12-19
Washington,2048,2048-12-20
Washington,2048,2048-12-21
Washington,2049,2049-12-08
Washington,2050,2050-11-23
Washington,2050,2050-11-24
Washington,2051,2051-02-25
Washington,2051,2051-02-26
Washington,2053,2053-12-07
Washington,2053,2053-12-08
Washington,2054,2054-02-05
Washington,2054,2054-02-06
Washington,2056,2056-12-17
Washington,2056,2056-12-18
Washington,2057,2057-01-03
Washington,2057,2057-01-05
Washington,2057,2057-01-06
Washington,2057,2057-01-12
Washington,2057,2057-01-13
Washington,2060,2060-01-27
Washington,2060,2060-01-28
Washington,2060,2060-01-29
Washington,2060,2060-01-30
Washington,2062,2062-01-06
Washington,2062,2062-01-07
Washington,2063,2063-12-20
Washington,2063,2063-12-21
Washington,2063,2063-12-22
Washington,2063,2063-12-23
Washington,2063,2063-12-24
Washington,2065,2065-02-03
Washington,2065,2065-02-04
Washington,2065,2065-11-22
Washington,2065,2065-11-23
Washington,2065,2065-11-24
Washington,2065,2065-11-25
Washington,2065,2065-11-26
Washington,2065,2065-11-28
Washington,2065,2065-11-29
Washington,2065,2065-11-30
Washington,2065,2065-12-01
Washington,2069,2069-02-01
Washington,2069,2069-02-02
Washington,2069,2069-02-03
Washington,2069,2069-02-04
Washington,2069,2069-02-05
Washington,2069,2069-03-03
Washington,2070,2070-02-14
Washington,2070,2070-12-19
Washington,2070,2070-12-20
Washington,2070,2070-12-21
Washington,2070,2070-12-22
Washington,2070,2070-12-23
Washington,2070,2070-12-24
Washington,2070,2070-12-29
Washington,2070,2070-12-30
Washington,2071,2071-01-05
Washington,2073,2073-01-06
Washington,2073,2073-01-07
Washington,2073,2073-01-11
Washington,2073,2073-01-12
Washington,2076,2076-01-29
Washington,2076,2076-01-30
Washington,2076,2076-01-31
Washington,2076,2076-02-01
Washington,2076,2076-02-02
Washington,2076,2076-02-03
Washington,2078,2078-12-20
Washington,2078,2078-12-21
Washington,2078,2078-12-22
Washington,2084,2084-01-04
Washington,2084,2084-01-05
Washington,2084,2084-01-06
Washington,2088,2088-12-16
Washington,2088,2088-12-20
Washington,2088,2088-12-21
Washington,2090,2090-11-24
Washington,2091,2091-02-25
Washington,2093,2093-12-08
Washington,2094,2094-02-05
Washington,2094,2094-02-06
Washington,2096,2096-12-17
Washington,2096,2096-12-18
Washington,2097,2097-01-12
