state,Year,Date
Wisconsin,2021,2021-02-12
Wisconsin,2022,2022-01-09
Wisconsin,2022,2022-01-10
Wisconsin,2022,2022-01-16
Wisconsin,2022,2022-01-17
Wisconsin,2022,2022-02-06
Wisconsin,2022,2022-02-10
Wisconsin,2023,2023-12-18
Wisconsin,2023,2023-12-19
Wisconsin,2023,2023-12-23
Wisconsin,2023,2023-12-24
Wisconsin,2023,2023-12-25
Wisconsin,2024,2024-01-19
Wisconsin,2024,2024-01-20
Wisconsin,2024,2024-01-21
Wisconsin,2025,2025-01-20
Wisconsin,2025,2025-02-01
Wisconsin,2025,2025-02-02
Wisconsin,2028,2028-01-05
Wisconsin,2028,2028-01-06
Wisconsin,2029,2029-12-21
Wisconsin,2034,2034-01-14
Wisconsin,2034,2034-01-15
Wisconsin,2034,2034-01-16
Wisconsin,2034,2034-01-18
Wisconsin,2034,2034-01-19
Wisconsin,2034,2034-01-31
Wisconsin,2036,2036-01-31
Wisconsin,2036,2036-02-01
Wisconsin,2036,2036-02-02
Wisconsin,2036,2036-02-03
Wisconsin,2036,2036-02-04
Wisconsin,2037,2037-01-17
Wisconsin,2039,2039-01-05
Wisconsin,2039,2039-01-07
Wisconsin,2049,2049-01-15
Wisconsin,2049,2049-01-16
Wisconsin,2049,2049-01-24
Wisconsin,2051,2051-01-21
Wisconsin,2051,2051-02-10
Wisconsin,2054,2054-01-06
Wisconsin,2054,2054-01-07
Wisconsin,2054,2054-01-28
Wisconsin,2059,2059-01-30
Wisconsin,2059,2059-01-31
Wisconsin,2059,2059-03-04
Wisconsin,2062,2062-01-09
Wisconsin,2062,2062-01-10
Wisconsin,2062,2062-01-16
Wisconsin,2062,2062-01-17
Wisconsin,2062,2062-02-06
Wisconsin,2062,2062-02-10
Wisconsin,2063,2063-12-24
Wisconsin,2064,2064-01-21
Wisconsin,2065,2065-01-20
Wisconsin,2074,2074-01-18
Wisconsin,2074,2074-01-19
Wisconsin,2076,2076-01-31
Wisconsin,2076,2076-02-01
Wisconsin,2076,2076-02-02
Wisconsin,2076,2076-02-03
Wisconsin,2076,2076-02-04
Wisconsin,2089,2089-01-15
Wisconsin,2089,2089-01-16
Wisconsin,2094,2094-01-06
Wisconsin,2094,2094-01-07
Wisconsin,2094,2094-01-28
Wisconsin,2099,2099-01-30
Wisconsin,2099,2099-01-31
