rb,Year,Date,Load_sum
p83,2021,2021-02-12,
p83,2022,2022-01-10,
p83,2022,2022-01-11,
p83,2022,2022-01-16,
p83,2022,2022-01-17,
p83,2022,2022-02-06,
p83,2022,2022-02-10,
p83,2023,2023-12-24,
p83,2023,2023-12-25,
p83,2023,2023-12-30,
p83,2025,2025-01-20,
p83,2025,2025-01-21,
p83,2029,2029-12-22,
p83,2029,2029-12-23,
p83,2034,2034-01-18,
p83,2034,2034-01-19,
p83,2036,2036-02-03,
p83,2036,2036-02-04,
p83,2037,2037-01-17,
p83,2039,2039-01-05,
p83,2054,2054-01-06,
p83,2054,2054-01-07,
p83,2059,2059-01-30,
p83,2062,2062-01-10,
p83,2062,2062-01-17,
p83,2063,2063-12-24,
p83,2065,2065-01-20,
