state,Year,Date
Vermont,2020,2020-12-25
Vermont,2020,2020-12-26
Vermont,2021,2021-01-03
Vermont,2021,2021-01-04
Vermont,2021,2021-01-05
Vermont,2021,2021-01-11
Vermont,2021,2021-01-12
Vermont,2022,2022-01-12
Vermont,2022,2022-01-17
Vermont,2022,2022-01-18
Vermont,2022,2022-01-21
Vermont,2023,2023-12-25
Vermont,2026,2026-01-15
Vermont,2027,2027-02-14
Vermont,2027,2027-02-15
Vermont,2028,2028-01-14
Vermont,2029,2029-03-07
Vermont,2029,2029-12-27
Vermont,2033,2033-02-06
Vermont,2033,2033-12-27
Vermont,2034,2034-01-06
Vermont,2034,2034-01-16
Vermont,2034,2034-01-19
Vermont,2034,2034-01-26
Vermont,2034,2034-01-27
Vermont,2035,2035-02-06
Vermont,2035,2035-02-07
Vermont,2039,2039-01-14
Vermont,2043,2043-01-22
Vermont,2043,2043-02-13
Vermont,2043,2043-02-14
Vermont,2043,2043-02-16
Vermont,2043,2043-03-03
Vermont,2044,2044-01-09
Vermont,2044,2044-01-14
Vermont,2044,2044-01-16
Vermont,2044,2044-01-25
Vermont,2045,2045-01-21
Vermont,2047,2047-03-06
Vermont,2051,2051-01-24
Vermont,2055,2055-02-24
Vermont,2056,2056-02-14
Vermont,2058,2058-01-07
Vermont,2060,2060-12-25
Vermont,2061,2061-01-03
Vermont,2061,2061-01-04
Vermont,2062,2062-01-17
Vermont,2062,2062-01-18
Vermont,2074,2074-01-16
Vermont,2074,2074-01-19
Vermont,2074,2074-01-27
